METAL,COUNTRY,STANDARD SMELTER NAME,KEY TERM 1,KEY TERM 2,KEY TERM 3,KEY TERM 4,V2 Smelter ID,V3 Smelter ID, , 
Tin,INDONESIA,PT Karimun Mining,Karimun,,,,2IDN062,CID001448,,
Tin,INDONESIA,PT Mitra Stania Prima,Stania ,,,,2IDN037,CID001453,,
Tin,INDONESIA,PT Prima Timah Utama,Utama,,,,2IDN007,CID001458,,
Tin,INDONESIA,PT REFINED BANGKA TIN,                                          ,,,,2IDN038,CID001460,,
Tin,INDONESIA,PT Sariwiguna Binasentosa,Binasentosa,,,,2IDN039,CID001463,,
Tin,INDONESIA,PT Stanindo Inti Perkasa,Stanindo, ,,,2IDN040,CID001468,,
Tin,INDONESIA,PT Tambang Timah, ,,,,2IDN049,CID001477,,
Tin,INDONESIA,PT Timah, ,,,,2IDN042,CID001482,,
Tin,INDONESIA,PT Tinindo Inter Nusa,            ,,,,2IDN044,CID001490,,
Tin,JAPAN,Mitsubishi Materials Corporation,Mitsubishi,,,,2JPN020,CID001191,,
Tin,MALAYSIA,Malaysia Smelting Corporation (MSC),Malaysia,MSC,,,2MYS016,CID001105,,
Tin,PERU,Minsur,Minsur,,,,2PER019,CID001182,,
Tin,POLAND,Fenix Metals,Fenix,,,,2POL064,CID000468,,
Tin,RUSSIAN FEDERATION,Novosibirsk Integrated Tin Works,Novosibirsk,,,,2RUS021,CID001305,,
Tin,TAIWAN,Rui Da Hung,Rui,Da Hung,,, ,CID001539,,
Tin,THAILAND,"O.M. Manufacturing (Thailand) Co., Ltd.",O.M,,,, ,CID001314,,
Tin,THAILAND,Thaisarco,Thaisarco,,,,2THA046,CID001898,,
Tin,UNITED STATES,Alpha,Alpha,,,,2USA001,CID000292,,
Tantalum,AUSTRIA,Plansee,Plansee,,,,3AUT011,CID001368,,
Tantalum,BRAZIL,LSM Brasil S.A.,LSM,,,,3BRA021,CID001076,,
Tantalum,BRAZIL,Mineração Taboca S.A., ,,,, ,CID001175,,
Tantalum,CHINA,"Changsha South Tantalum Niobium Co., Ltd.",Changsha,,,, ,CID000211,,
Tantalum,CHINA,Conghua Tantalum and Niobium Smeltry,Conghua,,,,3CHN019,CID000291,,
Tantalum,CHINA,Duoluoshan,Duoluoshan,,,,3CHN001,CID000410,,
Tantalum,CHINA,F&X Electro-Materials Ltd.,F&X,,,,3CHN003,CID000460,,
Tantalum,CHINA,"Guangdong Zhiyuan New Material Co., Ltd.", ,,,,3CHN028,CID000616,,
Tantalum,CHINA,"Hengyang King Xing Lifeng New Materials Co., Ltd.",Hengyang,Lifeng ,,,3CHN029,CID002492,,
Tantalum,CHINA,"JiuJiang JinXin Nonferrous Metals Co., Ltd.",JinXin ,,,,3CHN020,CID000914,,
Tantalum,CHINA,"Jiujiang Tanbre Co., Ltd.",Tanbre,,,,3CHN007,CID000917,,
Tantalum,CHINA,King-Tan Tantalum Industry Ltd,King-Tan,,,,3CHN026,CID000973,,
Tantalum,CHINA,"Ningxia Orient Tantalum Industry Co., Ltd.",Ningxia,,,,3CHN009,CID001277,,
Tantalum,CHINA,"RFH Tantalum Smeltry Co., Ltd",RFH,,,,3CHN017,CID001522,,
Tantalum,CHINA,Shanghai Jiangxi Metals Co. Ltd, ,,,, ,CID001634,,
Tantalum,CHINA,"Yichun Jin Yang Rare Metal Co., Ltd",Yichun,,,, ,CID002307,,
Tantalum,CHINA,Zhuzhou Cement Carbide,Zhuzhou,,,,3CHN015,CID002232,,
Tantalum,ESTONIA,Molycorp Silmet A.S.,Molycorp,Silmet,,,3EST025,CID001200,,
Tantalum,GERMANY,H.C. Starck Group,  ,,,,3DEU006,CID000654,,
Tantalum,INDIA,Metallurgical Products India (Pvt.) Ltd., ,,,,3IND027,CID001163,,
Tantalum,JAPAN,Mitsui Mining & Smelting,Mitsui,,,,3JPN008,CID001192,,
Tantalum,JAPAN,Taki Chemicals,Taki,,,,3JPN023,CID001869,,
Tantalum,KAZAKHSTAN,Ulba,Ulba,,,,3KAZ014,CID001969,,
Tantalum,RUSSIAN FEDERATION,Solikamsk Metal Works,Solikamsk,,,,3RUS012,CID001769,,
Tantalum,SOUTH AFRICA,Tantalite Resources, ,,,,3ZAF024,CID001879,,
Tantalum,UNITED STATES,Exotech Inc.,Exotech,,,,3USA002,CID000456,,
Tantalum,UNITED STATES,Global Advanced Metals, ,,,,3USA005,CID000564,,
Tantalum,UNITED STATES,Hi-Temp, ,,,,3USA016,CID000731,,
Tantalum,UNITED STATES,Kemet Blue Powder, ,,,,3USA010,CID000963,,
Tantalum,UNITED STATES,QuantumClean,QuantumClean,,,,3USA022,CID001508,,
Tantalum,UNITED STATES,Telex,Telex,,,,3USA018,CID001891,,
Tungsten,AUSTRIA,Wolfram Bergbau und Hütten AG,Wolfram,Bergbau,,,4AUT012,CID002044,,
Tungsten,CHINA,Chongyi Zhangyuan Tungsten Co Ltd,Chongyi,Zhangyuan,,,4CHN004,CID000258,,
Tungsten,CHINA,"Dayu Weiliang Tungsten Co., Ltd.",Dayu,Weiliang,,,4CHN021,CID000345,,
Tungsten,CHINA,"Fujian Jinxin Tungsten Co., Ltd.",Fujian,,,,4CHN022,CID000499,,
Tungsten,CHINA,"Ganzhou Huaxing Tungsten Products Co., Ltd.",Huaxing,,,,4CHN010,CID000875,,
Tungsten,CHINA,"Ganzhou Jiangwu Ferrotungsten Co., Ltd.",Ferrotungsten,,,,4CHN027,CID002315,,
Tungsten,CHINA,"Ganzhou Non-ferrous Metals Smelting Co., Ltd.", ,,,,4CHN009,CID000868,,
Tungsten,CHINA,"Ganzhou Seadragon W & Mo Co., Ltd.",Seadragon,,,, ,CID002494,,
Tungsten,CHINA,"Guangdong Xianglu Tungsten Industry Co., Ltd.", ,,,,4CHN002,CID000218,,
Tungsten,CHINA,Hunan Chenzhou Mining Group Co, ,,,,4CHN018,CID000766,,
Tungsten,CHINA,"Hunan Chun-Chang Nonferrous Smelting & Concentrating Co., Ltd.Chun-Chang",Chun-Chang ,,,,4CHN023,CID000769,,
Tungsten,CHINA,"Jiangxi Gan Bei Tungsten Co., Ltd.",Gan Bei ,,,, ,CID002321,,
Tungsten,CHINA,"Jiangxi Minmetals Gao'an Non-ferrous Metals Co., Ltd.",Gao'an,,,,4CHN024,CID002313,,
Tungsten,CHINA,"Jiangxi Richsea New Materials Co., Ltd.",Richsea,,,, ,CID002493,,
Tungsten,CHINA,"Jiangxi Tonggu Non-ferrous Metallurgical & Chemical Co., Ltd.",Tonggu ,,,,4CHN031,CID002318,,
Tungsten,CHINA,"Jiangxi Xinsheng Tungsten Industry Co., Ltd.",Xinsheng,,,,4CHN030,CID002317,,
Tungsten,CHINA,"Jiangxi Yaosheng Tungsten Co., Ltd.",Yaosheng ,,,, ,CID002316,,
